弹幕,时间
这个不看真想不到,2016-10-24 11:11:02
66666666之前一直不理解,2016-10-24 18:06:09
有点神奇。虽然就一步。,2016-10-25 11:11:02
特征行列式,2016-10-25 11:11:07
相似对角化,2016-10-25 11:11:16
诶 国内教的单位矩阵不一般都是用E么,2016-10-25 17:05:14
perfect!,2016-10-25 20:08:27
哭了,2016-10-25 22:10:19
如果有n重根，就说明在这个线性变换下，有n个向量都是方向不变，拉长λ倍,2016-10-26 01:01:40
恶梦还是交给电脑去解决吧。。。,2016-10-26 08:08:57
作者非常重视逻辑链，哪怕再简单（再显而易见），都会陈述出来。,2016-10-26 15:03:25
都是一些形式主义，为什么总在意那些没用的东西上。浪费时间,2016-10-27 08:08:38
想不到的你们有看过特征向量的定义么。。。,2016-10-27 13:01:11
课本上就是这么讲的啊。。。,2016-10-27 20:08:25
都有的  只是一个符号,2016-10-28 10:10:23
好多人 啊,2016-10-28 22:10:37
不看这个视频什么时候都不知道,2016-11-01 11:11:38
对同济版线性代数造成致命暴击……虽然就国内教材感觉同济那版本很好了,2016-11-01 20:08:05
就是定义而已 你们也太夸张了,2016-11-02 21:09:24
我他妈还是不懂(=_=),2016-11-02 21:09:25
虽然已经下载了，但是还是在这里和大家一起看,2016-11-03 15:03:35
这个教程真的是醍醐灌顶啊,2016-11-06 17:05:41
说夸张的肯定没有学完一本只讲计算法则的线性代数课本,2016-11-12 01:01:42
书上就是这么写的，你们又不愿意看课本,2016-11-12 02:02:19
空降党默默滚回去…,2016-11-12 15:03:33
反应有点夸张。。。,2016-11-12 20:08:01
这里没想到啊,2016-11-12 20:08:02
原来旋转轴可以这样定义,2016-11-12 20:08:02
这句话好押韵,2016-11-13 12:12:48
形式主义说得好 +1,2016-11-13 12:12:50
是的,2016-11-14 04:04:41
膜拜,2016-11-14 04:04:41
我们是I，不同老师应该不同吧,2016-11-14 14:02:06
啊！,2016-11-15 17:05:09
这个太形象！！,2016-11-16 09:09:08
考研还有38天，刚开始看线代怎么破,2016-11-16 17:05:25
换成这种视角理解线代果然轻松很多,2016-11-16 20:08:53
讲的真的好好,2016-11-16 22:10:02
哦  在这停顿！,2016-11-17 16:04:27
我的天呀,2016-11-17 21:09:24
厉害了，话说老师讲的完全就是算法,2016-11-17 23:11:57
有点算符本征值的感觉,2016-11-18 07:07:50
是I没错啊,2016-11-18 19:07:54
！,2016-11-19 16:04:43
发现其实就是定义嘛.. Ev=tv v变换之后相当于原来的t倍,2016-11-20 12:12:25
看个鬼畜冷静一下，考研一个月终于明白,2016-11-20 23:11:22
空降党。。。莫名的笑点。。,2016-11-21 19:07:18
这个真的太强了,2016-11-21 19:07:20
数形结合真的是学数学的一个很好的方法,2016-11-21 19:07:23
“精通定义”就那么有优越感？脑海中有更直观的图像很不屑？,2016-11-26 14:02:37
脑海中就是这个图像啊，没有更直观。,2016-11-30 20:08:26
我们的教材买这样讲。。。只能怪书不好喽。。,2016-12-01 19:07:36
这些内容也在量子力学开始的薛定谔方程中有重要作用。,2016-12-01 19:07:38
特征多项式,2016-12-01 19:07:40
基础解系算出来没有根号啊,2016-12-01 20:08:00
啊，是我算错了。。,2016-12-01 20:08:07
可以可以,2016-12-05 16:04:19
两个字  厉害！！！！,2016-12-05 21:09:16
果然这里一堆弹幕(ಡωಡ) ,2016-12-09 15:03:50
我们书上真不是这么写的ﾍ(;´Д｀ﾍ),2016-12-09 15:03:57
有人吗,2016-12-11 10:10:39
好萌啊你……,2016-12-11 18:06:39
跪服,2016-12-11 20:08:14
说得太对了,2016-12-11 21:09:08
第二，三个等式右边应该是零向量吧？,2016-12-12 13:01:09
有人吗,2016-12-12 20:08:18
默默退出从头开始看,2016-12-13 19:07:16
有啊,2016-12-15 13:01:13
17分钟 握草,2016-12-15 15:03:29
怎么下载啊,2016-12-16 22:10:32
原来的基组成的是单位矩阵，所以现在的基组成的矩阵就是基变换矩阵,2016-12-16 22:10:59
怎么没有二次型,2016-12-16 23:11:03
这是斐波那契数列的通项公式,2016-12-17 20:08:37
数学书为了严谨不犯错，定义都写得很抽象。。其实特征向量意思很简单,2016-12-18 11:11:44
当年第一次看到这个解释的时候我只想默默撕掉那本同济版教材。。,2016-12-18 11:11:47
单位向量e，单位矩阵I,2016-12-18 11:11:52
还有五天考研了，线代才开始看，怎么破？,2016-12-18 14:02:18
高阶线性递推数列的特征方程法本质上确实和矩阵的特征值有关,2016-12-19 18:06:52
暂停暂停,2016-12-19 19:07:44
斐波那契即视感,2016-12-19 19:07:56
一个n节矩阵可相思对狡猾  充要   :有n个无关的拉姆打,2016-12-21 13:01:52
漫长的17分钟~,2016-12-22 08:08:54
还有两天考研，线代才开始看，怎么破,2016-12-22 16:04:54
注：此部分有相当部分的高能(X)弹幕,2016-12-24 08:08:07
棒,2016-12-24 22:10:12
我不需要暂停我需要倒回去再看一遍,2016-12-25 18:06:42
底下两个向量一看就有阴谋,2016-12-25 19:07:10
进一步展开讨论的话就涉及不变子空间之类的东西了...,2016-12-27 18:06:08
若当标准型(～￣▽￣)～,2016-12-27 18:06:12
跟小π的表情完全同步,2016-12-28 16:04:46
我只能说上课能听懂的智商太高了。。。。,2016-12-28 22:10:24
我们也是用I,2016-12-28 22:10:25
忽然炸出来了,2016-12-28 22:10:27
这里小π的表情。。。作者你真会玩儿,2016-12-29 17:05:27
哈哈哈,2016-12-30 20:08:05
哇哇哇，就是拉着这两条绳子来变换空间的吗哈哈哈,2016-12-30 20:08:11
这个是斐波那契数列的矩阵表达，用特征值求的,2016-12-31 04:04:40
把我这种万年不发弹幕的炸出来了  66666666,2016-12-31 05:05:05
我也很好奇为什么中国的课本不讲,2017-01-01 14:02:46
设计课本的人是怎么考虑的,2017-01-01 14:02:46
前面几位可能没意识到I，E是一个东西,2017-01-01 14:02:54
为什么我学的时候一点都没领悟……,2017-01-01 22:10:34
对角化,2017-01-02 15:03:27
这个好像跟计算菲波那契数列有关,2017-01-03 07:07:23
光看教材上的纯数学定义是很难懂的,2017-01-03 11:11:01
中国课本并没有讲：同济版工程数学线性代数,2017-01-03 11:11:01
迭代法就是通过组建一个最大特征值为1的矩阵,2017-01-03 11:11:14
不断左乘这个矩阵，最后收敛到特征值为1的特征向量上,2017-01-03 11:11:14
<- 确实是我看错了，别理我。。。。,2017-01-03 15:03:51
特征值的几何意义你们课本没有？,2017-01-04 10:10:01
靠，可以看做3D图形的旋转轴。,2017-01-04 15:03:23
还有一天期末考了，线代才开始看，怎么破,2017-01-05 00:12:07
灰pi老师，请受我一拜！,2017-01-05 21:09:13
正在看,2017-01-05 21:09:17
北交的课本上有这个，几何的说明，,2017-01-06 00:12:29
前方暂停预警...,2017-01-07 20:08:46
所以相似对角化是这样，，，,2017-01-08 02:02:13
厉害啊啊啊啊,2017-01-08 11:11:29
保佑我高数和线代吧,2017-01-09 17:05:07
这一讲是最有用的。,2017-01-10 03:03:32
任何变换抓住不变量，就能了解该变换的许多性质了。,2017-01-10 03:03:41
齐次线性方程式,2017-01-10 03:03:42
量子力学精髓就是矩阵。,2017-01-10 03:03:45
 对角阵，上三角阵的用处。,2017-01-10 03:03:49
斐波那契数列,2017-01-10 04:04:00
Essential Identity,2017-01-16 11:11:40
返航...返航！！,2017-01-22 15:03:04
啊!,2017-01-22 15:03:06
拉姆best girl,2017-01-22 15:03:22
复特征向量,2017-01-22 19:07:14
斐波那契,2017-01-22 22:10:56
对就是算符本征值，一样的↑,2017-01-28 14:02:38
这里跳的太快了,2017-01-29 20:08:50
左下小π又没看前面视频233,2017-01-31 23:11:55
停,2017-02-01 18:06:17
当初学的时候就不能很好地理解，今天特地来复习一下,2017-02-02 20:08:35
soga,2017-02-06 19:07:38
直观啊,2017-02-08 23:11:33
也就是一个非满秩的矩阵,2017-02-10 11:11:02
 斐波那契数列,2017-02-11 08:08:21
淡定，淡定,2017-02-14 23:11:08
做题,2017-02-17 14:02:16
"哇塞,对角线 <---> squishification",2017-02-20 20:08:30
总觉得这一集会有大招放出qwq,2017-02-21 12:12:56
lihailihai,2017-02-27 12:12:03
量子力学精髓是张量吧,2017-03-04 01:01:09
这是斐波纳切数列的两个基向,2017-03-04 01:01:22
要像享受音乐一样享受数学内在的美感而不是过分强调数学的应用价值？,2017-03-06 22:10:32
可以用矩阵快速幂呀,2017-03-10 17:05:34
听君一席话，胜读十年书,2017-03-12 00:12:50
中文翻译字幕真厉害！连渐变色都与原版一样！！,2017-03-13 11:11:02
线性变换的对角化？,2017-03-15 12:12:34
考研看这个有个什么用,2017-03-17 19:07:45
哇,2017-03-21 09:09:02
连灰pi老师也露出困惑表情了↓,2017-03-21 09:09:04
I  identity 单位矩阵,2017-03-21 09:09:10
不用在意一个符号,2017-03-21 09:09:10
看懂了，讲得好,2017-03-21 09:09:14
really lovely,2017-03-23 18:06:17
一直想弄明白特征值到底是什么鬼，现在泪流满面,2017-03-24 15:03:36
感谢这个视频，第一次接触特征值就想到了伸缩,2017-03-30 21:09:27
为什么是只进行了缩放？,2017-04-02 12:12:37
请问这里算了100次之后怎么转换回标准坐标系？,2017-04-02 12:12:46
这个是说，特征值是这个矩阵在基变换前后解空间描述不变的意思吗,2017-04-02 13:01:21
15年数二压轴题,2017-04-06 16:04:16
不对，是16,2017-04-06 16:04:17
都是干货,2017-04-07 00:12:35
每个向量留在自己所张成的向量空间里,2017-04-09 10:10:19
所以A这个变换矩阵拥有几个特征向量呢？,2017-04-09 10:10:25
我正在想这两个值分别会怎么压缩空间呢，动画就出来了,2017-04-09 10:10:33
这个二重根代表什么？,2017-04-09 10:10:38
特征就是在这种变换之下始终保持的特征,2017-04-09 10:10:41
2333,2017-04-15 11:11:17
妙,2017-04-15 12:12:41
惊了,2017-04-15 12:12:44
一句字幕停一次,2017-04-15 23:11:38
张成全空间 是什么意思？有人能帮忙解答一下嘛,2017-04-17 18:06:28
你以为这是直播吗朋友,2017-04-18 23:11:57
我感觉是这个名字太高级了，特征感觉很智能的样子，,2017-04-19 01:01:26
相见恨晚,2017-04-19 23:11:42
立即推，放弃考研！,2017-04-20 11:11:26
哈哈，空降。。。。。。。。。,2017-04-20 11:11:30
特征值可以简化一个转换的矩阵,2017-04-20 12:12:17
e是群论里的identity,2017-04-20 12:12:23
机智啊,2017-04-20 13:01:26
感谢,2017-04-20 16:04:19
对啊，处理音符。没毛病,2017-04-20 20:08:30
高级名字+1,2017-04-20 20:08:31
我们书上就有啊，选修4-1,2017-04-20 20:08:35
矩阵力学吗？,2017-04-20 21:09:01
下载见评论,2017-04-20 21:09:03
可能是加粗了？,2017-04-20 21:09:05
大眼瞪小眼,2017-04-23 20:08:01
意思就是线性无关，可以张成全部空间,2017-04-24 09:09:50
怎么感觉特征向量跟平面的法线有点关系- -法线决定了一切,2017-04-24 21:09:26
求出零空间的表达式即可,2017-04-24 21:09:29
PCA主成分分析的思路。。,2017-04-24 21:09:42
线性变换果然很直观,2017-04-27 21:09:29
很厉害了 突然明白,2017-05-01 21:09:51
恍然大悟！,2017-05-03 00:12:48
已经无数次拍腿叹息期中前没看这个,2017-05-03 00:12:54
即不共线的特征向量数＞＝维数,2017-05-03 00:12:55
厉害了,2017-05-04 20:08:55
行列式等于零相当于降维，也就是令本图中的平行四边形面积为零,2017-05-05 09:09:36
为什么感觉有些弹幕飞得很快,2017-05-06 13:01:58
合影留念,2017-05-06 14:02:00
前方暂停预告,2017-05-06 14:02:06
真的泪流满面！以前就是在背书……,2017-05-07 16:04:54
概念要都这么描述定义谁会学不好数学，有些书真的讲不清楚,2017-05-08 21:09:00
我知道为什么这个视频叫3blue1brown了，因为有三个蓝π，一个棕π,2017-05-10 20:08:38
一个学期没学懂 就在刚才懂了！,2017-05-12 00:12:00
某985在读 书上没有几何解释,2017-05-12 00:12:01
等我看完一遍 就来把中英文字幕手打一遍= =,2017-05-13 09:09:20
我TM也感觉会有大招，决定近距离接受打击！！~~~,2017-05-14 11:11:39
现在看这个式子就明白了,2017-05-14 11:11:47
一览无余啊,2017-05-14 11:11:47
这集满满的干货,2017-05-14 11:11:57
暂停了也看不懂,2017-05-14 12:12:05
同问,2017-05-14 14:02:48
我要停下来睡几分钟再继续。。。,2017-05-14 14:02:59
哈哈,2017-05-15 19:07:50
微分方程的解法来源,2017-05-16 11:11:41
矩阵对角化之后求矩阵A的N次方很好求  A=P逆BP 直接求B的n次方,2017-05-16 11:11:47
妙,2017-05-17 04:04:06
调得不行,2017-05-19 15:03:16
会心一击，，,2017-05-19 16:04:36
某电子科大教材上没有,2017-05-19 16:04:38
明天期末考，我还有救么,2017-05-19 16:04:52
哈哈哈2333小pi表情,2017-05-23 14:02:43
晚上期末考，我还有救么,2017-05-24 14:02:18
那么我们怎么知道v在哪儿呢,2017-05-25 15:03:11
小tip，用v2v1构建矩阵比v1v2更容易计算哟,2017-05-25 18:06:23
要变回标准，就是AWA^-1就对了。,2017-05-25 19:07:46
1+(☆▽☆),2017-05-29 17:05:36
我超！！！！！！！！！！！！！！！！！！,2017-05-29 17:05:42
求解欧拉角的推证,2017-05-29 18:06:21
困扰已久的问题得以解决，真的哭了,2017-05-30 15:03:22
？！,2017-06-01 19:07:45
几句话加个动画,2017-06-03 00:12:01
哭了,2017-06-03 00:12:34
请问你们理解了特征基吗？,2017-06-03 15:03:38
有人理解特征基的吗？,2017-06-03 15:03:38
这里翻译有误，大致意思是,2017-06-03 18:06:08
但这种基向量是特征向量的情况，你可能很难遇到。,2017-06-03 18:06:09
前面某电子科大的别走,2017-06-07 21:09:25
比教材高到不知哪里去了,2017-06-09 23:11:34
←神总结,2017-06-10 08:08:41
居然还可以这么理解。书上的太不直观,2017-06-10 10:10:09
以前只感觉乘A和λ作用相同，但是现在了解矩阵是一个变换，理解更深,2017-06-10 10:10:15
醍醐灌顶,2017-06-11 04:04:52
暂停思考,2017-06-14 21:09:57
暂停看字,2017-06-14 22:10:01
我也是那个某电子科大的,2017-06-15 20:08:38
简直、豁然开朗（抹眼泪,2017-06-19 09:09:38
就是特征向量正交,2017-06-21 12:12:42
久期方程...,2017-06-21 19:07:53
懂了，因为单位矩阵中那个向量在挤压后只是变成了λ倍而已所以相等,2017-06-22 15:03:56
这个666,2017-06-22 19:07:27
这个66666,2017-06-22 19:07:29
绝妙,2017-06-22 19:07:35
绝妙,2017-06-22 19:07:36
流弊了，我的哥,2017-06-22 19:07:38
恍然大悟系列,2017-06-22 19:07:38
高中狗表示看不懂,2017-06-22 19:07:52
高能预警,2017-06-22 19:07:54
高中狗看懂了,2017-06-22 20:08:00
前方预警,2017-06-22 20:08:01
没救了,2017-06-22 20:08:02
怎么转换回+1,2017-06-22 20:08:12
%%%%%%%%%%%%%,2017-06-22 20:08:16
nullspace,2017-06-25 01:01:01
天啊，醍醐灌顶！！,2017-06-26 21:09:58
天啊，醍醐灌顶！！,2017-06-26 21:09:58
明天考量子力学……,2017-06-28 14:02:48
sixsix,2017-07-01 14:02:46
左边那个没看过,2017-07-02 14:02:48
弹幕越长，飞得越快,2017-07-04 13:01:56
6666，醍醐灌顶啊,2017-07-04 15:03:53
up主，能不能制作个视频讲matrix norm,2017-07-04 16:04:15
从这里在深入讨论，可以直观得出虚数i的几何意义，作者真是太NB了！,2017-07-05 21:09:23
膝盖已碎。。。,2017-07-06 09:09:10
转换回就左乘个基变换矩阵就好了,2017-07-06 21:09:51
从来不发弹幕的我，必须要顶一发了,2017-07-08 07:07:30
是旋转的轴？,2017-07-08 23:11:14
拽着两个筋在扯,2017-07-08 23:11:16
摊到复数就麻烦了。。。,2017-07-08 23:11:33
见up欧拉公式的那一集,2017-07-08 23:11:37
基变换,2017-07-08 23:11:41
向量指数增长,2017-07-08 23:11:44
四元数，旋转矩阵，这里全部串起来了,2017-07-09 03:03:54
秒懂了,2017-07-09 03:03:55
跪了跪了跪了，看到这恍然大悟,2017-07-09 15:03:08
暂停成功,2017-07-11 04:04:59
哇，突然间明白了,2017-07-11 21:09:06
你被强化了，快上,2017-07-11 22:10:01
这个书上有讲吧,2017-07-16 13:01:33
这不是书上的内容？,2017-07-16 13:01:35
十二五规划的线性代数书上都有讲这个啦，一般都是有空间解析几何的,2017-07-16 13:01:36
说恍然大悟的上课都没听？！,2017-07-16 13:01:39
这个动画太棒了,2017-07-16 13:01:41
高中狗你瞅啥？,2017-07-16 13:01:48
其实，小哥的眼睛3/4为蓝色，1/4为棕色,2017-07-18 13:01:39
拉姆打一定存在吗?,2017-07-18 13:01:57
无敌！！！,2017-07-20 11:09:34
对对对,2017-07-20 15:26:33
我好笨啊！！！,2017-07-20 15:36:04
 我又觉得我好笨了！！,2017-07-20 16:08:21
？？？？？,2017-07-21 12:52:42
？？？？？？？,2017-07-21 12:52:51
矩阵对这两条线上的向量的作用相当于数乘,2017-07-24 18:33:44
谢谢绿字,2017-07-25 20:08:43
释放一些维度使特征相量在里边,2017-07-27 22:24:32
